연도,시도,회사,세대수,수요가수,보급률
2009,경북,대성청정,208584.0,36673.0,17.581885475396
2009,경북,서라벌,150535.0,62210.0,41.32593748962036
2009,경북,영남ES(구미),252781.0,165891.0,65.62637223525502
2009,경북,영남ES(포항),233889.0,135441.0,57.90823852340212
2009,광주,해양,524093.0,444585.0,84.82941004745341
2009,대구,대성,906470.0,662669.0,73.10434984059042
2009,대전,CNCITY,538100.0,462052.0,85.86731090875303
2009,부산,부산,1323771.0,908760.0,68.64933587455836
2009,서울,귀뚜라미,343564.0,307775.0,89.58301801120024
2009,서울,대륜,583007.0,512354.0,87.88127758328802
2009,서울,서울,1550803.0,1318164.0,84.99880384549165
2009,서울,예스코,901373.0,807054.0,89.53607441092645
2009,서울,코원ES,749092.0,666493.0,88.97345052410118
2009,울산,경동,394364.0,311576.0,79.00721161160756
2009,인천,삼천리,354094.0,310565.0,87.7069365761634
2009,인천,인천,664086.0,585681.0,88.19354722129363
2009,전남,MC에너지,153248.0,67118.0,43.79698266861558
2009,전남,대화,97188.0,50318.0,51.77388154916245
2009,전남,전남,175032.0,99413.0,56.79704282645459
2009,전남,해양,87455.0,18143.0,20.74552627065348
2009,전북,군산,101757.0,61902.0,60.83316135499278
2009,전북,전북,390016.0,218455.0,56.01180464391204
2009,전북,전북ES,165658.0,74014.0,44.67879607383887
2009,제주,제주,217711.0,6515.0,2.992499230631433
2009,충남,CNCITY,14216.0,12830.0,90.25042205965109
2009,충남,서해,220470.0,57046.0,25.87472218442419
2009,충남,중부,593160.0,254113.0,42.84054892440488
2009,충북,참빛충북,80251.0,36775.0,45.82497414362438
2009,충북,충청ES,518953.0,249333.0,48.04539139382564
2010,강원,강원,137420.0,93240.0,67.85038567894047
2010,강원,참빛,63220.0,18268.0,28.89591901297058
2010,강원,참빛영동,161398.0,25184.0,15.60366299458482
2010,강원,참빛원주,142943.0,86347.0,60.40659563602275
2010,경기,대륜,350511.0,249937.0,71.30646399114435
2010,경기,삼천리,2516493.0,2108904.0,83.80329291597474
2010,경기,서울,586975.0,440031.0,74.96588440734273
2010,경기,예스코,368278.0,225006.0,61.09678014977816
2010,경기,인천,10379.0,2641.0,25.44561133057134
2010,경기,코원ES,700421.0,560432.0,80.01359182548782
2010,경남,경남,797381.0,457987.0,57.43640743885295
2010,경남,경동,96584.0,67726.0,70.12134515033546
2010,경남,지에스이,174740.0,75503.0,43.20876731143413
2010,경북,대성,100937.0,85392.0,84.59930451667871
2010,경북,대성청정,211039.0,39585.0,18.75719653713295
2010,경북,서라벌,153424.0,60764.0,39.60527687975806
2010,경북,영남ES(구미),376989.0,177231.0,47.01224704169087
2010,경북,영남ES(포항),240217.0,143868.0,59.89084869097524
2010,광주,해양,540875.0,473603.0,87.56237577998614
2010,대구,대성,934598.0,700480.0,74.9498714955521
2010,대전,CNCITY,555768.0,485153.0,87.29415871370789
2010,부산,부산,1371346.0,952242.0,69.43849327594933
2010,서울,귀뚜라미,349713.0,318660.0,91.12043304080774
2010,서울,대륜,598356.0,525530.0,87.82898475155258
2010,서울,서울,1555693.0,1394852.0,89.66113494114842
2010,서울,예스코,930751.0,816536.0,87.72872658745464
2010,서울,코원ES,786266.0,727866.0,92.57248819101932
2010,울산,경동,405501.0,327901.0,80.86317912902804
2010,인천,삼천리,367567.0,314971.0,85.69077202251563
2010,인천,인천,682874.0,618799.0,90.61686343307844
2010,전남,MC에너지,157001.0,71524.0,45.55639772995077
2010,전남,대화,98855.0,54869.0,55.50452683222902
2010,전남,전남,180113.0,101562.0,56.38793424128187
2010,전남,해양,70778.0,18777.0,26.52943004888525
2010,전북,군산,131205.0,69699.0,53.12221333028467
2010,전북,전북,399833.0,230445.0,57.63531274307023
2010,전북,전북ES,169986.0,79055.0,46.50677114585907
2010,제주,제주,224713.0,9700.0,4.316617196156876
2010,충남,CNCITY,14417.0,12963.0,89.9146840535479
2010,충남,서해,226820.0,67755.0,29.87170443523499
2010,충남,중부,613195.0,275168.0,44.87446896990354
2010,충북,참빛충북,82304.0,39441.0,47.92112169517885
2010,충북,충청ES,535136.0,276184.0,51.61005800394665
2011,강원,강원,139723.0,96038.0,68.73456768033896
2011,강원,참빛,63254.0,18866.0,29.8257817687419
2011,강원,참빛영동,161983.0,27255.0,16.8258397486156
2011,강원,참빛원주,147596.0,91026.0,61.67240304615301
2011,경기,대륜,359033.0,256908.0,71.5555394629463
2011,경기,삼천리,2536080.0,2174805.0,85.75458976057537
2011,경기,서울,606392.0,471878.0,77.81731948970302
2011,경기,예스코,367168.0,238005.0,64.82182543141015
2011,경기,인천,10898.0,3160.0,28.99614608184988
2011,경기,코원ES,699834.0,572448.0,81.79768345064686
2011,경남,경남,833193.0,493624.0,59.24485683389082
2011,경남,경동,99954.0,71770.0,71.80302939352103
2011,경남,지에스이,176780.0,82805.0,46.84070596221292
2011,경북,대성,103194.0,88776.0,86.02825745682888
2011,경북,대성청정,213530.0,42156.0,19.74242495199738
2011,경북,서라벌,154710.0,63748.0,41.20483485230431
2011,경북,영남ES(구미),378726.0,186238.0,49.17486520598005
2011,경북,영남ES(포항),242823.0,153263.0,63.11716764886357
2011,광주,해양,549105.0,500511.0,91.1503264402983
2011,대구,대성,940770.0,732222.0,77.83220128192863
2011,대전,CNCITY,566324.0,513784.0,90.72262521100996
2011,부산,부산,1381257.0,1002185.0,72.55601238581959
2011,서울,귀뚜라미,351452.0,325905.0,92.73101305441426
2011,서울,대륜,592991.0,529384.0,89.27353028966712
2011,서울,서울,1544466.0,1419224.0,91.89091893249837
2011,서울,예스코,923181.0,854253.0,92.53364183188346
2011,서울,코원ES,780662.0,739391.0,94.71333304298147
2011,울산,경동,412561.0,345653.0,83.78227704509152
2011,인천,삼천리,374340.0,331403.0,88.52994603836085
2011,인천,인천,693387.0,645635.0,93.11322537053624
2011,전남,MC에너지,158190.0,75991.0,48.03780264239206
2011,전남,대화,100675.0,57059.0,56.67643407002731
2011,전남,전남,184302.0,113937.0,61.8208158348797
2011,전남,해양,91145.0,21180.0,23.23769817324044
2011,전북,군산,123185.0,77559.0,62.96139952104558
2011,전북,전북,406659.0,249035.0,61.23926926491237
2011,전북,전북ES,173962.0,82301.0,47.30975730331912
2011,제주,제주,194135.0,10894.0,5.611558966698431
2011,충남,CNCITY,14381.0,12908.0,89.75731868437522
2011,충남,서해,229872.0,77703.0,33.8027249947797
2011,충남,중부,624038.0,302402.0,48.45890795111836
2011,충북,참빛충북,81345.0,42823.0,52.64367816091954
2011,충북,충청ES,544060.0,290837.0,53.45678785428078
2012,강원,강원,140490.0,98922.0,70.4121289771514
2012,강원,명성,0.0,0.0,0.0
2012,강원,참빛,63314.0,18456.0,29.14995103768519
2012,강원,참빛영동,164400.0,31441.0,19.12469586374696
2012,강원,참빛원주,150033.0,96785.0,64.50914132224244
